id,image_url
us_m247,https://static.encyclopedia.warthunder.com/slots/us_m247.png
us_mim_72_chaparral,https://static.encyclopedia.warthunder.com/slots/us_mim_72_chaparral.png
us_lav_ad,https://static.encyclopedia.warthunder.com/slots/us_lav_ad.png
us_xm_975_roland,https://static.encyclopedia.warthunder.com/slots/us_xm_975_roland.png
us_adats_bradley,https://static.encyclopedia.warthunder.com/slots/us_adats_bradley.png
us_sl_amraam_fcs,https://static.encyclopedia.warthunder.com/slots/us_sl_amraam_fcs.png
us_m2a2,https://static.encyclopedia.warthunder.com/slots/us_m2a2.png
us_m8_scott,https://static.encyclopedia.warthunder.com/slots/us_m8_scott.png
us_halftrack_m3_75mm_gmc,https://static.encyclopedia.warthunder.com/slots/us_halftrack_m3_75mm_gmc.png
us_m4a3_105_sherman,https://static.encyclopedia.warthunder.com/slots/us_m4a3_105_sherman.png
us_m10,https://static.encyclopedia.warthunder.com/slots/us_m10.png
us_m44,https://static.encyclopedia.warthunder.com/slots/us_m44.png
us_m36_group,https://static.encyclopedia.warthunder.com/slots/us_m36_group.png
us_m36,https://static.encyclopedia.warthunder.com/slots/us_m36.png
us_m36b2,https://static.encyclopedia.warthunder.com/slots/us_m36b2.png
us_m109a1,https://static.encyclopedia.warthunder.com/slots/us_m109a1.png
us_m56_scorpion,https://static.encyclopedia.warthunder.com/slots/us_m56_scorpion.png
us_m50_ontos,https://static.encyclopedia.warthunder.com/slots/us_m50_ontos.png
us_t95,https://static.encyclopedia.warthunder.com/slots/us_t95.png
us_m60a2,https://static.encyclopedia.warthunder.com/slots/us_m60a2.png
us_m1128_mgs,https://static.encyclopedia.warthunder.com/slots/us_m1128_mgs.png
us_m2a4_1st_armor_div,https://static.encyclopedia.warthunder.com/slots/us_m2a4_1st_armor_div.png
us_lvt_a_4,https://static.encyclopedia.warthunder.com/slots/us_lvt_a_4.png
us_m3a1_stuart_usmc,https://static.encyclopedia.warthunder.com/slots/us_m3a1_stuart_usmc.png
us_m5a1_stuart_canadian_5st_arm,https://static.encyclopedia.warthunder.com/slots/us_m5a1_stuart_canadian_5st_arm.png
us_mk1_grant,https://static.encyclopedia.warthunder.com/slots/us_mk1_grant.png
us_m4a5_ram_2,https://static.encyclopedia.warthunder.com/slots/us_m4a5_ram_2.png
us_m24_chaffee_tl,https://static.encyclopedia.warthunder.com/slots/us_m24_chaffee_tl.png
us_m4_sherman_promo,https://static.encyclopedia.warthunder.com/slots/us_m4_sherman_promo.png
us_t14,https://static.encyclopedia.warthunder.com/slots/us_t14.png
us_m4a3e2_sherman_jumbo_cobra_king,https://static.encyclopedia.warthunder.com/slots/us_m4a3e2_sherman_jumbo_cobra_king.png
us_kit_3rank_group,https://static.encyclopedia.warthunder.com/slots/us_kit_3rank_group.png
us_m4a3e8_76w_sherman_kit_3rank,https://static.encyclopedia.warthunder.com/slots/us_m4a3e8_76w_sherman_kit_3rank.png
us_m18_hellcat_kit_3rank,https://static.encyclopedia.warthunder.com/slots/us_m18_hellcat_kit_3rank.png
us_skink_aa_kit_3rank,https://static.encyclopedia.warthunder.com/slots/us_skink_aa_kit_3rank.png
us_m18_super_hellcat,https://static.encyclopedia.warthunder.com/slots/us_m18_super_hellcat.png
us_t20,https://static.encyclopedia.warthunder.com/slots/us_t20.png
us_m26_t99,https://static.encyclopedia.warthunder.com/slots/us_m26_t99.png
us_m26e1_pershing,https://static.encyclopedia.warthunder.com/slots/us_m26e1_pershing.png
us_m46_patton_73_armor_bat,https://static.encyclopedia.warthunder.com/slots/us_m46_patton_73_armor_bat.png
us_m728,https://static.encyclopedia.warthunder.com/slots/us_m728.png
us_t54e2,https://static.encyclopedia.warthunder.com/slots/us_t54e2.png
us_t54e1,https://static.encyclopedia.warthunder.com/slots/us_t54e1.png
us_m901_itv,https://static.encyclopedia.warthunder.com/slots/us_m901_itv.png
us_xm1_chrysler,https://static.encyclopedia.warthunder.com/slots/us_xm1_chrysler.png
us_xm1_gm,https://static.encyclopedia.warthunder.com/slots/us_xm1_gm.png
us_m1128_wolfpack,https://static.encyclopedia.warthunder.com/slots/us_m1128_wolfpack.png
us_m1_abrams_kvt,https://static.encyclopedia.warthunder.com/slots/us_m1_abrams_kvt.png
us_m1a1_aim_abrams,https://static.encyclopedia.warthunder.com/slots/us_m1a1_aim_abrams.png
us_m1a1_hc_usmc,https://static.encyclopedia.warthunder.com/slots/us_m1a1_hc_usmc.png
us_rdf_lt,https://static.encyclopedia.warthunder.com/slots/us_rdf_lt.png
